Epoch,Loss,Policy Head Accuracy (%),Policy Head Loss,Value Head Loss,Value Head MAE,Val Loss,Val Policy Head Accuracy (%),Val Policy Head Loss,Val Value Head Loss,Val Value Head MAE,Learning Rate
1,6.6666,4.32%,6.0331,0.5763,0.6376,6.1424,6.45%,5.5093,0.5834,0.6318,4.0000e-04
2,5.8752,7.59%,5.2784,0.5352,0.603,5.566,10.12%,4.9064,0.5893,0.6289,4.0000e-04
3,5.4512,10.22%,4.8592,0.5171,0.5856,5.2377,12.23%,4.5969,0.5633,0.6104,4.0000e-04
4,5.1973,11.81%,4.6185,0.4989,0.569,5.0631,13.70%,4.3971,0.5853,0.6213,4.0000e-04
5,5.0262,12.90%,4.465,0.479,0.5515,4.9314,14.38%,4.2664,0.5833,0.6127,4.0000e-04
6,4.8884,13.71%,4.3474,0.4573,0.5324,4.8834,14.90%,4.1793,0.6207,0.6322,4.0000e-04
7,4.7834,14.34%,4.261,0.4375,0.5151,4.7954,15.29%,4.1093,0.6021,0.6169,4.0000e-04
8,4.6942,14.82%,4.1894,0.4191,0.4981,4.7667,15.86%,4.0601,0.6212,0.6186,4.0000e-04
9,4.6165,15.38%,4.1269,0.4031,0.4833,4.7617,16.12%,4.0281,0.6477,0.6266,4.0000e-04
10,4.5461,15.77%,4.0707,0.3886,0.4693,4.7396,16.49%,4.0007,0.6522,0.627,4.0000e-04
11,4.488,16.14%,4.024,0.3763,0.4574,4.6969,16.56%,3.9551,0.6548,0.6271,4.0000e-04
12,4.4358,16.54%,3.9818,0.3658,0.4468,4.6894,16.83%,3.9422,0.6596,0.6312,4.0000e-04
13,4.388,16.83%,3.9432,0.3558,0.4367,4.6891,16.96%,3.9288,0.6719,0.6253,4.0000e-04
14,4.3478,17.02%,3.9105,0.3477,0.4283,4.6922,17.45%,3.9162,0.687,0.6386,4.0000e-04
15,4.3083,17.42%,3.8783,0.3397,0.4205,4.6447,17.42%,3.8855,0.6693,0.6191,4.0000e-04
