Epoch,Accuracy (Train),Loss (Train),Top-5 Accuracy (Train),Accuracy (Val),Loss (Val),Top-5 Accuracy (Val),Learning Rate
1,6.74%,3.9386,25.79%,8.48%,3.4333,29.31%,0.0003
2,7.65%,3.4403,28.39%,7.93%,3.3989,29.42%,0.0003
3,8.08%,3.4056,29.39%,9.25%,3.3735,31.28%,0.0003
4,8.70%,3.3792,30.42%,9.04%,3.3563,31.00%,0.0003
5,9.16%,3.3611,30.83%,8.73%,3.4073,30.26%,0.0003
6,9.78%,3.342,31.71%,9.93%,3.4085,31.99%,0.0003
7,10.15%,3.3198,32.22%,11.28%,3.2775,33.29%,0.0003
8,10.87%,3.2965,33.26%,11.07%,3.2691,34.04%,0.0003
9,11.58%,3.27,34.47%,12.01%,3.2575,34.69%,0.0003
10,12.50%,3.2307,35.92%,12.35%,3.2299,35.07%,0.0003
11,13.68%,3.1803,38.08%,11.03%,3.3881,33.33%,0.0003
12,15.00%,3.1284,40.58%,13.26%,3.2054,35.72%,0.0003
13,16.72%,3.0518,43.85%,13.89%,3.2209,35.79%,0.0003
14,18.87%,2.9595,47.79%,13.95%,3.2744,36.02%,0.0003
15,20.88%,2.8658,51.32%,14.51%,3.2755,36.64%,0.0003
16,24.84%,2.7075,57.45%,14.84%,3.3421,36.51%,0.00015
17,27.70%,2.5862,61.48%,15.00%,3.3739,36.56%,0.00015
18,29.58%,2.4937,64.29%,15.19%,3.4337,36.57%,0.00015
19,32.81%,2.3666,68.19%,15.30%,3.5911,36.39%,7.5e-05
20,34.53%,2.2904,70.10%,15.30%,3.6159,36.08%,7.5e-05
21,36.20%,2.223,72.04%,15.52%,3.6506,36.39%,7.5e-05
22,37.70%,2.1557,73.84%,15.63%,3.6804,36.53%,3.75e-05
