Epoch,From Square Accuracy (Train),From Square Loss (Train),To Square Accuracy (Train),To Square Loss (Train),Loss (Train),From Square Accuracy (Val),From Square Loss (Val),To Square Accuracy (Val),To Square Loss (Val),Loss (Val),Learning Rate
1,31.01%,2.4478,13.19%,3.4669,6.0272,42.42%,1.9104,19.44%,3.1857,5.2203,0.0005
2,41.63%,1.898,19.49%,3.1739,5.1983,45.28%,1.8712,23.69%,3.049,5.0484,0.0005
3,43.44%,1.7875,22.55%,3.0274,4.9455,45.99%,2.0149,26.30%,3.0288,5.175,0.0005
4,44.52%,1.7315,24.56%,2.9321,4.797,46.85%,2.3986,27.67%,3.3412,5.8737,0.0005
5,45.28%,1.6929,25.81%,2.8695,4.6973,46.81%,2.5007,28.70%,3.2846,5.9198,0.00015
6,47.62%,1.5795,28.31%,2.7356,4.4185,48.97%,2.4426,30.58%,2.9464,5.4772,0.00015
7,48.16%,1.5592,28.89%,2.7006,4.3438,48.93%,2.0077,30.84%,2.9104,4.9987,0.00015
8,48.59%,1.5465,29.44%,2.6788,4.3044,48.88%,2.6333,31.07%,3.1684,5.8791,0.00015
9,48.81%,1.5375,29.65%,2.6638,4.2779,49.18%,2.1795,31.08%,2.9438,5.1986,0.00015
10,49.04%,1.5299,30.03%,2.6483,4.2531,49.17%,1.6833,31.35%,2.7134,4.471,0.00015
11,49.28%,1.5212,30.33%,2.6329,4.2281,49.29%,1.521,31.55%,2.5763,4.1704,0.00015
12,49.55%,1.5123,30.56%,2.6207,4.2063,49.33%,2.5929,31.72%,3.1982,5.8635,0.00015
13,49.75%,1.5057,30.76%,2.6098,4.188,49.34%,1.9808,31.73%,2.8708,4.9235,0.00015
14,49.89%,1.5012,30.97%,2.5983,4.1716,49.37%,1.6615,31.84%,2.6597,4.3928,0.00015
15,50.49%,1.4756,31.52%,2.569,4.1124,49.64%,1.9827,31.95%,2.8733,4.921,0.0001
16,50.69%,1.468,31.76%,2.5573,4.0892,49.68%,1.6926,32.18%,2.6262,4.3813,0.0001
17,50.81%,1.4657,31.92%,2.5514,4.0791,49.58%,1.6328,32.17%,2.6704,4.3644,0.0001
18,50.88%,1.461,32.12%,2.5445,4.0665,49.93%,2.5972,32.37%,3.2165,5.8741,0.0001
19,50.99%,1.4576,32.17%,2.5383,4.0564,49.81%,1.6657,32.39%,2.6802,4.4059,0.0001
20,51.11%,1.4531,32.35%,2.5312,4.0441,49.68%,2.7125,32.37%,3.3749,6.1469,0.0001
21,51.23%,1.4518,32.43%,2.5277,4.0388,49.71%,2.0801,32.31%,2.9328,5.0719,0.0001
