Epoch,From Square Accuracy (Train),From Square Loss (Train),To Square Accuracy (Train),To Square Loss (Train),Loss (Train),Learning Rate,From Square Accuracy (Val),To Square Accuracy (Val),Position Eval MAE (Train),Position Eval MAE (Val),Loss (Val)
1,9.97%,3.419,6.06%,3.7722,24.8948,0.001,19.21%,8.53%,2.7405,2.6667,24.1215
2,21.25%,2.8075,9.42%,3.5953,23.4791,0.001,28.09%,11.87%,2.6356,2.7472,24.1544
3,28.48%,2.4963,12.12%,3.4862,22.8679,0.001,34.21%,14.14%,2.5981,2.6242,22.9873
4,32.86%,2.3187,13.74%,3.4173,22.4888,0.001,37.12%,15.96%,2.5716,2.5733,22.5377
5,35.80%,2.2013,14.72%,3.3726,22.2374,0.001,39.85%,16.99%,2.5539,2.5547,22.2618
6,37.77%,2.1136,15.62%,3.3335,22.0326,0.001,40.91%,17.60%,2.5389,2.5701,22.2308
7,39.29%,2.0448,16.43%,3.3006,21.8734,0.001,42.18%,18.11%,2.5257,2.5755,22.1097
8,40.40%,1.9911,17.04%,3.2706,21.7352,0.001,42.40%,19.15%,2.5134,2.5625,22.0421
9,41.25%,1.9452,17.44%,3.2466,21.6345,0.001,43.18%,19.46%,2.5066,2.5185,21.7748
10,42.07%,1.9086,17.87%,3.2254,21.5417,0.001,43.95%,19.84%,2.4986,2.5368,21.7821
11,42.69%,1.8765,18.37%,3.2038,21.4571,0.001,44.68%,20.34%,2.4916,2.5145,21.6806
12,43.16%,1.8505,18.76%,3.1823,21.3793,0.001,44.63%,20.36%,2.4845,2.5639,21.8237
13,43.56%,1.8269,19.19%,3.1631,21.319,0.001,44.82%,20.97%,2.4798,2.4993,21.5252
14,44.01%,1.8068,19.55%,3.1488,21.2693,0.001,45.03%,21.28%,2.475,2.5058,21.5314
15,44.33%,1.7905,19.87%,3.1306,21.213,0.001,45.33%,21.58%,2.4704,2.5307,21.5616
16,44.68%,1.7732,20.21%,3.1161,21.164,0.001,45.38%,21.78%,2.4656,2.5063,21.4965
17,44.99%,1.759,20.55%,3.0996,21.1143,0.001,45.26%,21.91%,2.4604,2.5033,21.4723
18,45.27%,1.7455,20.80%,3.0873,21.0784,0.001,45.39%,22.01%,2.4571,2.5419,21.5996
19,45.48%,1.7347,21.17%,3.0714,21.0448,0.001,45.95%,22.60%,2.4552,2.5088,21.4353
20,45.75%,1.7225,21.47%,3.0597,21.0034,0.001,45.88%,22.78%,2.451,2.4899,21.3745
21,45.95%,1.7144,21.60%,3.0468,20.9753,0.001,46.06%,23.27%,2.4489,2.5453,21.5625
22,46.23%,1.7025,21.97%,3.0348,20.9432,0.001,46.20%,23.13%,2.4467,2.4933,21.3309
23,46.41%,1.6943,22.22%,3.0221,20.9111,0.001,46.47%,23.64%,2.4437,2.4886,21.3066
24,46.59%,1.6851,22.46%,3.0123,20.8885,0.001,46.52%,23.69%,2.4418,2.5089,21.3983
25,46.84%,1.6761,22.74%,3.0007,20.8575,0.001,46.41%,23.93%,2.4392,2.4968,21.3085
26,47.12%,1.667,22.88%,2.9889,20.8341,0.001,46.61%,24.24%,2.438,2.5568,21.5177
27,47.24%,1.6602,23.09%,2.9789,20.8086,0.001,46.51%,24.47%,2.435,2.5288,21.3914
28,47.34%,1.6535,23.35%,2.9694,20.7833,0.001,46.76%,24.46%,2.4331,2.5095,21.3311
29,48.92%,1.5824,24.55%,2.9095,20.5638,0.0005,47.49%,25.17%,2.4109,2.4727,21.099
30,49.32%,1.5696,24.94%,2.89,20.4994,0.0005,47.58%,25.41%,2.4058,2.4737,21.0812
31,49.47%,1.562,25.21%,2.8803,20.4697,0.0005,47.57%,25.37%,2.4035,2.4749,21.0921
32,49.69%,1.5571,25.29%,2.8718,20.4485,0.0005,47.68%,25.44%,2.402,2.4782,21.0946
33,49.76%,1.5497,25.44%,2.8623,20.4237,0.0005,47.71%,25.52%,2.3998,2.4752,21.0678
34,49.95%,1.5442,25.57%,2.8546,20.4079,0.0005,47.84%,25.95%,2.3992,2.4718,21.0601
35,50.07%,1.541,25.73%,2.8484,20.3933,0.0005,47.59%,25.91%,2.3973,2.4686,21.0456
36,50.28%,1.5339,25.94%,2.8403,20.3766,0.0005,47.67%,25.91%,2.3973,2.479,21.0944
37,50.41%,1.5311,26.07%,2.8331,20.3638,0.0005,47.71%,25.92%,2.3964,2.4734,21.0664
38,50.56%,1.5246,26.30%,2.8244,20.3449,0.0005,47.85%,25.81%,2.3949,2.4769,21.0787
39,50.54%,1.522,26.38%,2.8206,20.3362,0.0005,47.80%,26.10%,2.394,2.4704,21.0517
40,50.68%,1.517,26.41%,2.8144,20.3232,0.00025,47.64%,26.07%,2.3937,2.477,21.0552
41,51.69%,1.4734,27.19%,2.7768,20.2046,0.00025,48.09%,26.51%,2.3819,2.4681,20.9932
42,51.98%,1.4638,27.45%,2.7646,20.1695,0.00025,48.23%,26.58%,2.3795,2.4681,20.9921
43,52.00%,1.4612,27.59%,2.76,20.1586,0.00025,48.24%,26.55%,2.3792,2.4669,20.9873
44,52.14%,1.4574,27.59%,2.7555,20.1444,0.00025,48.20%,26.68%,2.3783,2.4678,20.9869
