Epoch,From Square Accuracy (Train),Loss (Train),Position Eval MAE (Train),To Square Accuracy (Train),From Square Accuracy (Val),Loss (Val),Learning Rate
1,0.1122,24.8891,2.7464,0.0688,0.2241,23.7982,0.0004
2,0.244,23.3988,2.6348,0.1102,0.3489,23.7982,0.0004
3,0.3201,22.7934,2.5992,0.1386,0.3915,23.7982,0.0004
4,0.3548,22.4572,2.5744,0.1518,0.4174,23.7982,0.0004
5,0.3753,22.2426,2.5578,0.1612,0.4308,23.7982,0.0004
6,0.3888,22.0874,2.5461,0.1684,0.4399,23.7982,0.0004
7,0.4001,21.9594,2.5344,0.1739,0.4485,23.7982,0.0004
8,0.4079,21.8624,2.5269,0.1788,0.4581,23.7982,0.0004
9,0.4145,21.7742,2.5201,0.1833,0.4557,23.7982,0.0004
10,0.4194,21.6988,2.5131,0.188,0.4611,23.7982,0.0004
11,0.424,21.6388,2.5082,0.1916,0.4634,23.7982,0.0004
12,0.4282,21.5835,2.5029,0.1952,0.4666,23.7982,0.0004
13,0.4326,21.5322,2.4995,0.1985,0.4662,23.7982,0.0004
14,0.4348,21.4919,2.4958,0.2017,0.4679,23.7982,0.0004
15,0.4377,21.454,2.4924,0.2047,0.471,23.7982,0.0004
16,0.4395,21.417,2.4896,0.2079,0.4736,23.7982,0.0004
17,0.4411,21.3837,2.4866,0.2102,0.4779,23.7982,0.0004
18,0.4442,21.3529,2.4846,0.2132,0.4784,23.7982,0.0004
19,0.4459,21.3248,2.4818,0.2153,0.4788,23.7982,0.0004
20,0.4478,21.299,2.4802,0.2181,0.4778,23.7982,0.0004
21,0.4493,21.2742,2.4777,0.2203,0.4785,23.7982,0.0004
22,0.4505,21.2505,2.4759,0.2223,0.4801,23.7982,0.0004
23,0.4529,21.2261,2.4742,0.2249,0.4819,23.7982,0.0004
24,0.4525,21.2137,2.4728,0.2267,0.4766,23.7982,0.0004
25,0.4539,21.1913,2.4713,0.228,0.479,23.7982,0.0004
26,0.4559,21.172,2.4697,0.2293,0.4811,23.7982,0.0004
27,0.4563,21.1574,2.4686,0.2318,0.483,23.7982,0.0004
28,0.4584,21.1366,2.4671,0.2342,0.4828,23.7982,0.0004
29,0.4589,21.1246,2.4661,0.2348,0.4827,23.7982,0.0004
30,0.4596,21.1104,2.4649,0.237,0.4836,23.7982,0.0004
31,0.4604,21.0994,2.4639,0.2379,0.4813,23.7982,0.0004
32,0.4619,21.0846,2.4629,0.2394,0.4834,23.7982,0.0004
33,0.4625,21.0724,2.4626,0.2405,0.4853,23.7982,0.0004
34,0.4633,21.0625,2.4619,0.2416,0.4863,23.7982,0.0004
35,0.4642,21.0501,2.4603,0.2423,0.486,23.7982,0.0004
36,0.465,21.038,2.4596,0.2438,0.4883,23.7982,0.0004
37,0.4654,21.0271,2.4587,0.2458,0.4878,23.7982,0.0004
38,0.4661,21.0182,2.458,0.2464,0.4847,23.7982,0.0004
39,0.4675,21.0073,2.457,0.2475,0.4864,23.7982,0.0004
40,0.4681,20.9982,2.4565,0.2484,0.4868,23.7982,0.0004
41,0.4676,20.9876,2.4555,0.2491,0.4867,23.7982,0.0004
42,0.4684,20.9797,2.4546,0.2502,0.4856,23.7982,0.0004
43,0.469,20.9721,2.4548,0.2509,0.4875,23.7982,0.0004
44,0.4703,20.9594,2.453,0.2516,0.4869,23.7982,0.0004
45,0.4703,20.9543,2.4526,0.2529,0.4887,23.7982,0.0004
46,0.4715,20.9473,2.4528,0.2538,0.4888,23.7982,0.0004
47,0.4712,20.941,2.4521,0.2543,0.4887,23.7982,0.0004
48,0.4721,20.9322,2.4515,0.2548,0.4886,23.7982,0.0004
49,0.4733,20.9228,2.4507,0.2566,0.4911,23.7982,0.0004
50,0.4728,20.9197,2.4504,0.2559,0.4892,23.7982,0.0004
